id,language,name,shortName
69,en,"Contraception: Choices, Culture and Consequences",contraception
1322,en,Introduction to Computational Arts: Processing,compartsprocessing
1024,zh-cn,Introduction to Computing 计算概论A,pkuic
1767,en,Global Perspectives on Sexual and Reproductive Health and Rights (SRHR),globalsrhr
347,en,Writing II: Rhetorical Composing,writing2
2876,en,American Health Policy: The Affordable Care Act and the Future of Health Care Reform (Part II of II),ushealthcarereform
1315,en,Introduction to Human Behavioral Genetics,behavioralgenetics
88,en,An Introduction to Interactive Programming in Python,interactivepython
1200,en,Social Entrepreneurship,socialentrepeneur
408,es,Tecnologías de información y comunicación en la educación,ticyeducacion
170,en,Exploring Quantum Physics,eqp
1158,en,Animal Behaviour and Welfare,animal
762,en,Mathematical Methods for Quantitative Finance,mathematicalmethods
1005,zh-cn,艺术史,arthistory
115,en,E-learning and Digital Cultures,edc
1290,en,Marriage and the Movies: A History,marriageandmovies
217,en,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",newchinahistory1
3460,en,Financing for Development,fin4devmooc
1422,es,Fundamentos de la escritura en español,escrituraesp
449,en,Antimicrobial Stewardship: Optimization of Antibiotic Practices,antimicrobial
247,en,"Economic Issues, Food & You",ecfoodandyou
655,en,Engaging Students through Cooperative Learning,cooperativelearning
511,en,The Finite Element Method for Problems in Physics,finiteelementmethods
2380,en,Mobile and Ubiquitous Computing,uidesign2
614,en,Tinkering Fundamentals: A Constructionist Approach to STEM Learning,tinkering
202,en,AIDS,aids
1426,es,Pensamiento algorítmico,pealgoritmico
2184,en,"Asset Pricing, Part 2",assetpricing2
2933,en,Disaster Preparedness for the Health Care Professional,disasterpreparedness
1275,en,"Better Leader, Richer Life",totalleadership
1327,en,Preparing for the AP* Statistics Exam,apstat
1063,en,FLOW Education: Facilitating Learning through Outdoor Watershed Education,watershed
1354,en,Programming for Everybody (Python),pythonlearn
2146,pt-br,Fundamentos e Linguagem de Negócios: Contabilidade (The Blue Side Up),linguanegocios
174,en,Discrete Optimization,optimization
898,en,Water Supply and Sanitation Policy in Developing Countries,water
417,en,Introduction to Art: Concepts & Techniques,art
1613,en,Deciphering Secrets: Unlocking the Manuscripts of Medieval Spain,medievalspain
1359,zh-cn,媒介批评:理论与方法 Media Criticism: Theory and Method,sjtujc331
25,en,Statistics One,stats1
724,en,"Asset Pricing, Part 1",assetpricing
14,en,Automata,automata
1430,en,Massively Multivariable Open Online Calculus Course,m2o2c2
110,en,Equine Nutrition,equinenutrition
1330,en,From GPS and Google Maps to Spatial Computing,spatialcomputing
917,en,Practicing Tolerance in a Religious Society: The Church and the Jews in Italy,religionandtolerance
1279,en,Bioinformatics: Life Sciences on Your Computer,bioinform
357,en,Caries Management by Risk Assessment (CAMBRA),cariesmanagement
2466,zh-cn,Financial Markets 金融市场（中文版）,financialmarketszh
196,en,Modern European Mysticism and Psychological Thought,mysticthought
2356,en,Healthcare Technologies to Assess Human Behavior for Health Management,healthimaging
157,en,Writing in the Sciences,sciwrite
559,en,The Power of Macroeconomics: Economic Principles in the Real World,ucimacroeconomics
1800,en,"Alcohol, Drugs, and Baby Boomers: Are you ready?",babyboomersanddrugs
1379,zh-cn,中级有机化学 Comprehensive Organic Chemistry,orgchem
189,en,Introduction to Pharmacy,intropharma
421,en,"Energy, the Environment, and Our Future",energy
93,en,Nanotechnology: The Basics,nanotech
1572,en,Geospatial Intelligence & the Geospatial Revolution,geoint
1398,de,Grundlagenkurs Unfallchirurgie,traumasurgery
228,en,Creative Programming for Digital Media & Mobile Apps,digitalmedia
289,en,The Law of the European Union: An Introduction,introeulaw
448,en,Law and the Entrepreneur ,law
78,en,Vaccine Trials: Methods and Best Practices,vacctrials
475,en,Introduction to Power Electronics,powerelectronics
492,en,Everything is the Same: Modeling Engineered Systems,modelsystems
164,en,Clinical Terminology for International and U.S. Students,clinicalterminology
1664,zh-tw,機器學習技法 (Machine Learning Techniques),ntumltwo
1373,en,Social Entrepreneurship,socialimpact
